,0
0,0.2217662
1,0.080913745
2,0.24592122
3,0.057611335
4,0.06153904
5,0.24294843
6,0.21993168
7,0.24383223
8,0.056981504
9,0.07991739
10,0.16451201
11,0.17408995
12,0.057120338
13,0.19282596
14,0.05759178
15,0.23287165
16,0.06478597
17,0.05663485
18,0.061460547
19,0.057958223
20,0.05737055
21,0.12548015
22,0.18013138
23,0.24669784
24,0.24074267
25,0.23675898
26,0.05672995
27,0.17950815
28,0.2060449
29,0.059235577
30,0.0684721
31,0.057420764
32,0.22691521
33,0.05710585
34,0.08551959
35,0.23752642
36,0.05844391
37,0.057030078
38,0.057797477
39,0.103783414
40,0.15622023
41,0.06302223
42,0.05691472
43,0.23890847
44,0.057684608
45,0.08356304
46,0.079561286
47,0.059510317
48,0.08137568
49,0.1984916
50,0.22842984
51,0.10082456
52,0.20742491
53,0.17392474
54,0.2425054
55,0.23554792
56,0.2429451
57,0.1954799
58,0.23273782
59,0.056763243
60,0.057079818
61,0.056565545
62,0.1482566
63,0.059062295
64,0.058934044
65,0.058259502
66,0.058961842
67,0.05768738
68,0.11180574
69,0.06914261
70,0.235759
71,0.058303762
72,0.057490125
73,0.13439581
74,0.0869334
75,0.22832
76,0.13619778
77,0.23093101
78,0.05666513
79,0.096985035
80,0.110094555
81,0.11503526
82,0.05708397
83,0.18058978
84,0.18157813
85,0.05697823
86,0.11414139
87,0.05653161
88,0.12442985
89,0.06052148
90,0.059223775
91,0.121713094
92,0.09243919
93,0.05922171
94,0.14606546
95,0.071018815
96,0.05675738
97,0.24675642
98,0.22072606
99,0.13059106
100,0.0770432
101,0.23326975
102,0.058082584
103,0.16678229
104,0.071550824
105,0.065074
106,0.06937165
107,0.12444293
108,0.23969541
109,0.22816476
110,0.08313177
111,0.10887591
112,0.14087465
113,0.06588854
114,0.23540175
115,0.15429197
116,0.1271196
117,0.05748079
118,0.23045555
119,0.057170525
120,0.08967829
121,0.15140171
122,0.106159896
123,0.057119984
124,0.060355444
125,0.22639479
126,0.22514613
127,0.08009768
128,0.058418836
129,0.06508435
130,0.05876958
131,0.23527223
132,0.2023902
133,0.060296156
134,0.058216244
135,0.23236616
136,0.07230994
137,0.069545746
138,0.060639113
139,0.2161092
140,0.08018121
141,0.0566266
142,0.068043046
143,0.059543263
144,0.10797818
145,0.063634
146,0.069582395
147,0.06491529
148,0.2155543
149,0.059213165
150,0.06556578
151,0.05666575
152,0.089799926
153,0.22137246
154,0.07679195
155,0.15237454
156,0.1513974
157,0.05781366
158,0.059192214
159,0.067070596
160,0.05656268
161,0.058400825
162,0.066722326
163,0.056592517
164,0.13539201
165,0.05689815
166,0.06510095
167,0.23316559
168,0.21842912
169,0.058281664
170,0.14581126
171,0.10786389
172,0.056519818
173,0.24045162
174,0.23985901
175,0.05713805
176,0.11143613
177,0.15267557
178,0.24259706
179,0.0750833
180,0.12866423
181,0.10662844
182,0.058231708
183,0.20880204
184,0.15067099
185,0.24479793
186,0.07045462
187,0.24436682
188,0.21878047
189,0.060383
190,0.2417245
191,0.24686876
192,0.09130155
193,0.05728936
194,0.16338484
195,0.058741804
196,0.17353533
197,0.057106093
198,0.067772985
199,0.057324767
200,0.11187217
201,0.243683
202,0.06311917
203,0.23318937
204,0.05655132
205,0.05675268
206,0.06579438
207,0.057734452
208,0.13942292
209,0.07814847
210,0.056984562
211,0.05674257
212,0.059062704
213,0.23847616
214,0.058131583
215,0.20834489
216,0.2110085
217,0.061941087
218,0.20773444
219,0.15963458
220,0.05799471
221,0.2436185
222,0.057140764
223,0.056762587
224,0.22985747
225,0.056967344
226,0.057016484
227,0.057563998
228,0.2265664
229,0.09744809
230,0.18311346
231,0.24339578
232,0.05813567
233,0.15854079
234,0.059400115
235,0.06165265
236,0.12271734
237,0.05897561
238,0.083781116
239,0.2335206
240,0.14559333
241,0.077981725
242,0.0595436
243,0.05737439
244,0.07437014
245,0.096741095
246,0.1880209
247,0.057626147
248,0.19420932
249,0.24742925
250,0.059556182
251,0.19043931
252,0.24687472
253,0.091976315
254,0.10054542
255,0.057652157
256,0.22895029
257,0.16230994
258,0.05898556
259,0.05776687
260,0.12008346
261,0.07213807
262,0.09866524
263,0.21543898
264,0.056552596
265,0.07653449
266,0.24694417
267,0.05758798
268,0.05727406
269,0.0583435
270,0.09358073
271,0.23189734
272,0.17080909
273,0.072412364
274,0.2340383
275,0.22271685
276,0.2439333
277,0.0689499
278,0.056991015
279,0.1789413
280,0.17569448
281,0.05678897
282,0.1228762
283,0.05868382
284,0.09222319
285,0.23916323
286,0.061348747
287,0.067385085
288,0.057289932
289,0.07916051
290,0.23637435
291,0.057440083
292,0.05886967
293,0.23095424
294,0.23522921
295,0.11545619
296,0.05850187
297,0.061292868
298,0.20170988
299,0.05740216
300,0.067564055
301,0.21581978
302,0.06120662
303,0.057419345
304,0.08262528
305,0.07476876
306,0.17501143
307,0.09268062
308,0.11562983
309,0.24268018
310,0.058641106
311,0.23783243
312,0.20603414
313,0.059063412
314,0.24436499
315,0.056791868
316,0.23445433
317,0.05677317
318,0.1811275
319,0.23262005
320,0.05698617
321,0.0875105
322,0.17696628
323,0.059861798
324,0.05685263
325,0.061848983
326,0.13034502
327,0.060644116
328,0.057670377
329,0.061618134
330,0.05878615
331,0.06179311
332,0.062588684
333,0.05940081
334,0.15312369
335,0.057851836
336,0.071416534
337,0.058222283
338,0.19397844
339,0.0866437
340,0.10798912
341,0.05694602
342,0.064930424
343,0.17582317
344,0.17949852
345,0.070012026
346,0.058871344
347,0.21131021
348,0.07534386
349,0.06125317
350,0.13860726
351,0.16259444
352,0.20472346
353,0.15663975
354,0.05945994
355,0.058055624
356,0.069617026
357,0.23781396
358,0.06769502
359,0.098309
360,0.15805641
361,0.05652822
362,0.071415894
363,0.057260036
364,0.13035452
365,0.19735964
366,0.16937913
367,0.18026899
368,0.24358824
369,0.16833569
370,0.11372828
371,0.10222047
372,0.09381665
373,0.09999021
374,0.1070093
375,0.16062935
376,0.057048287
377,0.24707237
378,0.060865834
379,0.056831766
380,0.061205182
381,0.20513466
382,0.067617826
383,0.10079865
384,0.24498671
385,0.20756304
386,0.060359847
387,0.1976442
388,0.23319651
389,0.057194088
390,0.057998728
391,0.06929918
392,0.059334874
393,0.05723022
394,0.07424661
395,0.23914406
396,0.11727967
397,0.05782209
398,0.07796374
399,0.061762284
400,0.061978728
401,0.08130847
402,0.09471095
403,0.18639673
404,0.058174416
405,0.056560025
406,0.11143596
407,0.057558022
408,0.057418857
409,0.057585347
410,0.17806387
411,0.056528118
412,0.05674131
413,0.056488294
414,0.056519818
415,0.24510746
416,0.17504242
417,0.115778916
418,0.057060912
419,0.059770502
420,0.12711316
421,0.108081795
422,0.061858922
423,0.21168551
424,0.1430938
425,0.18996274
426,0.24246779
427,0.06500858
428,0.058692798
429,0.19880597
430,0.05653396
431,0.2362657
432,0.06987278
433,0.05935137
434,0.12581147
435,0.05686952
436,0.061775748
437,0.24507536
438,0.21365854
439,0.09841741
440,0.05711845
441,0.056547277
442,0.101149045
443,0.057488963
444,0.057020824
445,0.24244514
446,0.13406177
447,0.059617814
448,0.23394252
449,0.05811343
450,0.057396352
451,0.05783108
452,0.058337875
453,0.056582622
454,0.07412584
455,0.05810179
456,0.22331983
457,0.12388225
458,0.063897
459,0.09416272
460,0.06617113
461,0.14372577
462,0.19127908
463,0.109758615
464,0.061050463
465,0.057740226
466,0.15985075
467,0.056927033
468,0.06754312
469,0.06111343
470,0.11309137
471,0.15059748
472,0.06519331
473,0.102236055
474,0.07769221
475,0.056519818
476,0.22640061
477,0.07066117
478,0.13825314
479,0.056931995
480,0.09351351
481,0.17418505
482,0.056576923
483,0.058090605
484,0.23867
485,0.057094757
486,0.060764004
487,0.057961173
488,0.07339335
489,0.05684509
490,0.12871458
491,0.24260226
492,0.23661599
493,0.1747586
494,0.057290822
495,0.06671664
496,0.05857003
497,0.17508826
498,0.057474602
499,0.06498759
500,0.24321917
501,0.057775103
502,0.2213523
503,0.23879932
504,0.17300195
505,0.12467242
506,0.19318898
507,0.05874128
508,0.2179334
509,0.20503165
510,0.057471775
511,0.057340577
512,0.074949555
513,0.21627721
514,0.23515894
515,0.18732184
516,0.057416987
517,0.057553247
518,0.06955636
519,0.057595324
520,0.09404261
521,0.063612625
522,0.23849657
523,0.13441497
524,0.099816225
525,0.05741897
526,0.058258586
527,0.06945198
528,0.0832927
529,0.0600361
530,0.21045355
531,0.057418175
532,0.11504063
533,0.06929496
534,0.2056676
535,0.19468538
536,0.21938619
537,0.18349911
538,0.058090102
539,0.17909256
540,0.056829125
541,0.056596585
542,0.057188574
543,0.06188107
544,0.2463715
545,0.0651839
546,0.23853737
547,0.092198275
548,0.0566874
549,0.05782357
550,0.057161022
551,0.18303391
552,0.22427848
553,0.08546279
554,0.15703121
555,0.22225635
556,0.05720433
557,0.062142033
558,0.058062635
559,0.056755185
560,0.059925005
561,0.056744445
562,0.10787814
563,0.056764074
564,0.14018282
565,0.059379004
566,0.20960495
567,0.11932857
568,0.121551715
569,0.069055036
570,0.10518567
571,0.18966362
572,0.24078119
573,0.19581336
574,0.0586781
575,0.24365808
576,0.059775498
577,0.058866266
578,0.20644243
579,0.13082281
580,0.24271956
581,0.12211369
582,0.216832
583,0.14518169
584,0.24421477
585,0.12444926
586,0.23195001
587,0.11906595
588,0.057511967
589,0.06328006
590,0.20869
591,0.077523366
592,0.24426451
593,0.056570373
594,0.22674055
595,0.05823767
596,0.060787823
597,0.056664348
598,0.24272107
599,0.11440587
600,0.071568616
601,0.24456322
602,0.08404145
603,0.06019574
604,0.24644196
605,0.057291683
606,0.05721206
607,0.07335826
608,0.06280778
609,0.06513463
610,0.057158694
611,0.079263076
612,0.05736703
613,0.057158202
614,0.05723313
615,0.21134508
616,0.063725255
617,0.056826457
618,0.22314335
619,0.05760697
620,0.2261106
621,0.07393415
622,0.14773774
623,0.057837352
624,0.11023847
625,0.059911996
626,0.05972609
627,0.24164097
628,0.08799343
629,0.05814418
630,0.05915583
631,0.06437563
632,0.0569904
633,0.06865658
634,0.060915504
635,0.20034184
636,0.089379475
637,0.14450555
638,0.24161443
639,0.0705383
640,0.151368
641,0.058085665
642,0.06259513
643,0.058437955
644,0.057182834
645,0.05653396
646,0.2460085
647,0.1160275
648,0.08904137
649,0.1871554
650,0.057725787
651,0.21377735
652,0.05672995
653,0.057310957
654,0.056538217
655,0.13276596
656,0.09330813
657,0.18477035
658,0.11443303
659,0.19435047
660,0.057099022
661,0.19188426
662,0.17458072
663,0.15135723
664,0.05728856
665,0.24648519
666,0.05742057
667,0.17807478
668,0.056645453
669,0.057388864
670,0.07936058
671,0.056625757
672,0.08089517
673,0.05802279
674,0.21422195
675,0.057326417
676,0.06545015
677,0.2469075
678,0.17010975
679,0.08820442
680,0.19997916
681,0.058658537
682,0.24607584
683,0.06076528
684,0.24437083
685,0.17423849
686,0.18067335
687,0.2128821
688,0.06486414
689,0.05653396
690,0.14195856
691,0.22818717
692,0.23809208
693,0.24700044
694,0.057763517
695,0.23209749
696,0.22638766
697,0.07549742
698,0.11746074
699,0.22547516
700,0.062422052
701,0.060016826
702,0.24576129
703,0.06138611
704,0.058285367
705,0.05776545
706,0.20849977
707,0.05759112
708,0.05702832
709,0.110054284
710,0.057777945
711,0.23929751
712,0.05794545
713,0.2417723
714,0.06001129
715,0.08494153
716,0.15757021
717,0.16047578
718,0.056896333
719,0.24069975
720,0.056523986
721,0.24578913
722,0.05725205
723,0.056766037
724,0.19882223
725,0.22375429
726,0.07385158
727,0.07006232
728,0.0793728
729,0.07814595
730,0.056945127
731,0.056930766
732,0.057845388
733,0.080901116
734,0.21216328
735,0.07531185
736,0.057503294
737,0.2360327
738,0.10056539
739,0.061941713
740,0.056612708
741,0.15139772
742,0.13214856
743,0.23958759
744,0.10386557
745,0.14184938
746,0.12899798
747,0.24108507
748,0.24224718
749,0.05936748
750,0.05672181
751,0.07069089
752,0.06390694
753,0.24473767
754,0.0758631
755,0.24407335
756,0.06177094
757,0.057053294
758,0.07986516
759,0.058505695
760,0.12208425
761,0.1895307
762,0.05822129
763,0.059356645
764,0.056973945
765,0.23985995
766,0.06024
767,0.09141382
768,0.1023359
769,0.24559382
770,0.15862814
771,0.117182754
772,0.05917795
773,0.0895024
774,0.19572599
775,0.21976157
776,0.070712835
777,0.13226847
778,0.19710232
779,0.07021247
780,0.23376592
781,0.064628
782,0.056974187
783,0.06424566
784,0.22286387
785,0.18389761
786,0.14202471
787,0.2208277
788,0.22352885
789,0.07462014
790,0.06107207
791,0.060468078
792,0.11800434
793,0.19899505
794,0.05848411
795,0.05666941
796,0.09462411
797,0.06778924
798,0.19406024
799,0.24627095
800,0.057623386
801,0.05839694
802,0.23936889
803,0.2435301
804,0.06161514
805,0.071643494
806,0.15431549
807,0.20109783
808,0.06103728
809,0.21563227
810,0.05740965
811,0.08158278
812,0.104558535
813,0.23782954
814,0.21391904
815,0.067337945
816,0.060688205
817,0.065438725
818,0.16593775
819,0.056540303
820,0.24650207
821,0.16565813
822,0.24360369
823,0.056898847
824,0.057784423
825,0.059124764
826,0.087423615
827,0.060343105
828,0.16118759
829,0.056755554
830,0.21220863
831,0.057902668
832,0.057362743
833,0.05666575
834,0.18632962
835,0.05805681
836,0.057886213
837,0.20043123
838,0.2449225
839,0.056701407
840,0.057627626
841,0.14976236
842,0.22807679
843,0.058139067
844,0.20409285
845,0.068580635
846,0.17427996
847,0.23907132
848,0.2351959
849,0.23057614
850,0.060982496
851,0.08252479
852,0.16819564
853,0.10962737
854,0.05715135
855,0.056656864
856,0.22654
857,0.24329145
858,0.08822329
859,0.13806012
860,0.22952284
861,0.11748368
862,0.05694271
863,0.1856706
864,0.21667592
865,0.23801842
866,0.1773306
867,0.23938471
868,0.23976725
869,0.066324666
870,0.19252294
871,0.21836604
872,0.057269625
873,0.2081957
874,0.066805184
875,0.058203913
876,0.2344132
877,0.11561875
878,0.21257605
879,0.24247569
880,0.17442034
881,0.08436347
882,0.24247634
883,0.057032377
884,0.057236124
885,0.09602052
886,0.121976875
